epoch,time,train_loss,test_loss
1,24.576867499999935,0.3090459342163162,
2,49.08929210001952,0.022686745406935705,
3,73.5028835000121,0.02020582200558911,
4,97.92671690002317,0.018918547066063194,
5,126.2848300000187,0.017471371878392036,0.10013680160045624
6,150.85898190000444,0.01695397470711095,
7,175.5975991000014,0.016797418536589965,
8,200.2966921000043,0.015932562930051342,
9,225.0311120999977,0.015202438497233397,
10,253.61220120001235,0.015603487807878447,0.10179468989372253
11,278.09709990001284,0.015335924603048879,
12,302.4736369000166,0.015145327283869404,
13,326.83388930000365,0.015428891477121027,
14,351.5238760000211,0.014185129441394157,
15,380.01273280000896,0.014786198481315502,0.10117138922214508
16,404.7223598000128,0.014321585649827306,
17,429.16699110000627,0.014087480606300383,
18,453.7295594000025,0.014098396995170097,
19,479.3935982999974,0.014082673829795899,
20,508.19301250000717,0.01349556286304854,0.09572689980268478
21,532.8980492000119,0.013485500511832145,
22,557.8943117000163,0.013023186078173316,
23,583.031216000003,0.012990364936503674,
24,607.3313357000006,0.01268118703736138,
25,636.2184054999962,0.012666364265803838,0.09262096136808395
26,661.0244839000225,0.012500266935490896,
27,686.1526786000177,0.012325365711546127,
28,711.6554137000057,0.012208715274525007,
29,736.8064569999988,0.012084116500762503,
30,765.997203100007,0.011962989168509477,0.08225112408399582
31,790.9548997000093,0.011865781769756275,
32,815.9569878000184,0.0118172775704236,
33,841.1558689000085,0.011813012515506071,
34,865.3884784000111,0.011808734350471924,
35,894.525994399999,0.011796243688938252,0.07370547950267792
36,919.611234800017,0.011775136235344746,
37,944.5232402000111,0.011733199856250896,
38,969.5476573000196,0.011686520404015249,
39,994.5364241000207,0.011641211705821481,
40,1023.8208112000138,0.011599616949693066,0.06733398139476776
41,1049.0532742000069,0.011558174700726917,
42,1074.403372700006,0.011481231379273715,
43,1099.8083997000067,0.011402088992909832,
44,1125.1108292000135,0.011340680013296507,
45,1154.2342104999989,0.011285810193831958,0.06706902384757996
46,1179.2795447000244,0.011261742426523886,
47,1204.2777824000223,0.011234355501052415,
48,1229.077464700007,0.011217655491221452,
49,1253.754391399998,0.011205831987181433,
50,1283.0515264999995,0.011199665487759481,0.06791014224290848
