epoch,time,train_loss,test_loss
1,26.682740399992326,0.0020903784999011764,
2,84.91802109999117,0.001846586813008515,
3,155.72030899999663,0.0018307774049773065,
4,226.79247570000007,0.00182680840730408,
5,308.5764007999969,0.0018253156303720721,0.0005106961471028626
6,379.70866419997765,0.0018243117906476083,
7,450.5573101999762,0.0018234321739522932,
8,521.8003258999961,0.001822628649988583,
9,571.068583299988,0.0018218078899420497,
10,602.9393535999989,0.0018210523258694606,0.000501256319694221
11,631.8248084999796,0.0018202631839690417,
12,702.8603040000016,0.0018195250370213862,
13,773.5810247999907,0.001818781438940643,
14,844.9487029000011,0.001818052827847472,
15,893.745036599983,0.0018173223040673196,0.00047812637058086693
16,920.5671601999784,0.0018166216321313963,
17,947.1671588000027,0.001815909123626434,
18,973.5621180000016,0.0018151718350819946,
19,1000.1212451999891,0.0018145322567005942,
20,1036.2420351000037,0.0018138389267132594,0.0004316435370128602
21,1107.2799375999894,0.001813145129520207,
22,1177.5738478999992,0.0018124855284441079,
23,1247.9260386999813,0.001811839789971679,
24,1318.4423508000036,0.0018112173684374853,
25,1360.7945607999864,0.0018105959502862695,0.00036996728158555925
26,1387.2805878999934,0.001809992849544406,
27,1418.841431399982,0.0018094131609458308,
28,1445.1025464999839,0.0018088517705692215,
29,1471.722606700001,0.0018083073330127852,
30,1502.638223899994,0.0018077699566513361,0.00031095705344341695
31,1529.4699351000017,0.001807256340932727,
32,1555.8762423000007,0.0018067577549329581,
33,1582.2651215999795,0.001806280661749872,
34,1609.4239840999944,0.001805824641973073,
35,1640.083374299982,0.00180539211514924,0.00026760465698316693
36,1666.6193180999835,0.0018049851964770853,
37,1693.0843460999895,0.0018046046773340127,
38,1720.4908887999773,0.0018042538263935242,
39,1746.7084507999825,0.0018039343362758556,
40,1777.1490383999771,0.0018036497265595988,0.0002386652195127681
41,1803.6950063999975,0.0018034038025738568,
42,1831.2165260000038,0.0018032013012241523,
43,1857.7327262999897,0.001803046977308366,
44,1884.2479924999934,0.0018029421603272555,
45,1915.3068168000027,0.0018028783056179877,0.00020669339573942125
46,1942.3774206999806,0.0018028300568850495,
47,1968.7937552999938,0.0018027641022880757,
48,1994.873322999978,0.0018026683651322219,
49,2022.119677199982,0.0018025660480155425,
50,2052.886333499977,0.001802491418559008,0.0001895069144666195
