time,u,y,x1,x2
27.275,-0.7583619153,0.8420624373,0.8420624373,-1.298898405
27.3,-0.7862884321,0.8090395335,0.8090395335,-1.343056181
27.325,-0.8126941644,0.7749036005,0.7749036005,-1.387937084
27.35,-0.83752804,0.7396368451,0.7396368451,-1.433517948
27.375,-0.860742027,0.7032220985,0.7032220985,-1.479771211
27.4,-0.8822912264,0.6656429514,0.6656429514,-1.526664234
27.425,-0.9021339594,0.6268838731,0.6268838731,-1.574158705
27.45,-0.9202318474,0.5869303749,0.5869303749,-1.622209875
27.475,-0.9365498867,0.5457691709,0.5457691709,-1.670765804
27.5,-0.9510565163,0.5033883759,0.5033883759,-1.719766501
27.525,-0.9637236783,0.4597777109,0.4597777109,-1.76914305
27.55,-0.9745268728,0.4149287452,0.4149287452,-1.818816639
27.575,-0.983445205,0.3688351476,0.3688351476,-1.868697594
27.6,-0.9904614257,0.3214929802,0.3214929802,-1.918684335
27.625,-0.9955619646,0.2729010001,0.2729010001,-1.968662351
27.65,-0.9987369566,0.2230610017,0.2230610017,-2.018503145
27.675,-0.9999802609,0.1719781778,0.1719781778,-2.068063217
27.7,-0.9992894726,0.1196615047,0.1196615047,-2.117183096
27.725,-0.996665928,0.06612415571,0.06612415571,-2.165686442
27.75,-0.9921147013,0.01138393168,0.01138393168,-2.21337928
27.775,-0.9856445951,-0.04453629077,-0.04453629077,-2.260049398
27.8,-0.9772681236,-0.1016080971,-0.1016080971,-2.305465955
27.825,-0.9670014878,-0.1597970675,-0.1597970675,-2.349379366
27.85,-0.9548645447,-0.2190623098,-0.2190623098,-2.391521517
27.875,-0.940880769,-0.2793560037,-0.2793560037,-2.431606363
27.9,-0.9250772068,-0.3406229644,-0.3406229644,-2.469331002
27.925,-0.9074844245,-0.4028002376,-0.4028002376,-2.50437725
27.95,-0.8881364488,-0.4658167484,-0.4658167484,-2.536413778
27.975,-0.8670707012,-0.5295930007,-0.5295930007,-2.565098924
28,-0.8443279255,-0.594040862,-0.594040862,-2.590084072
28.025,-0.8199521093,-0.6590634413,-0.6590634413,-2.611017775
28.05,-0.7939903986,-0.7245550742,-0.7245550742,-2.627550511
28.075,-0.7664930068,-0.7904014367,-0.7904014367,-2.639340033
28.1,-0.7375131174,-0.8564798015,-0.8564798015,-2.646057311
28.125,-0.7071067812,-0.9226594473,-0.9226594473,-2.647392911
28.15,-0.6753328081,-0.9888022307,-0.9888022307,-2.643063669
28.175,-0.6422526532,-1.054763329,-1.054763329,-2.632819503
28.2,-0.6079302977,-1.12039215,-1.12039215,-2.616450147
28.225,-0.5724321256,-1.185533412,-1.185533412,-2.593791582
28.25,-0.535826795,-1.25002837,-1.25002837,-2.564731897
28.275,-0.4981851053,-1.31371619,-1.31371619,-2.529216348
28.3,-0.4595798606,-1.376435424,-1.376435424,-2.487251348
28.325,-0.4200857284,-1.43802558,-1.43802558,-2.438907198
28.35,-0.3797790955,-1.498328736,-1.498328736,-2.384319354
28.375,-0.3387379202,-1.557191169,-1.557191169,-2.323688126
28.4,-0.2970415816,-1.614464957,-1.614464957,-2.257276735
28.425,-0.2547707257,-1.67000951,-1.67000951,-2.185407736
28.45,-0.2120071099,-1.72369299,-1.72369299,-2.108457918
28.475,-0.1688334447,-1.775393593,-1.775393593,-2.026851804
28.5,-0.1253332336,-1.825000642,-1.825000642,-1.94105402
28.525,-0.08159061157,-1.872415491,-1.872415491,-1.851560712
28.55,-0.03769018267,-1.917552198,-1.917552198,-1.758890429
28.575,0.006283143966,-1.960337968,-1.960337968,-1.66357482
28.6,0.05024431818,-2.000713357,-2.000713357,-1.566149165
28.625,0.09410831332,-2.038632263,-2.038632263,-1.467143554
28.65,0.1377902907,-2.07406168,-2.07406168,-1.367074552
28.675,0.1812057636,-2.106981266,-2.106981266,-1.266437699
28.7,0.2242707609,-2.137382742,-2.137382742,-1.165701158
28.725,0.2669019893,-2.165269133,-2.165269133,-1.065300412
28.75,0.3090169944,-2.190653896,-2.190653896,-0.9656341808
28.775,0.3505343202,-2.213559967,-2.213559967,-0.8670615452
28.8,0.3913736668,-2.234018745,-2.234018745,-0.7699002111
28.825,0.4314560457,-2.252069047,-2.252069047,-0.6744258331
28.85,0.4707039322,-2.267756055,-2.267756055,-0.5808722974
28.875,0.5090414158,-2.28113029,-2.28113029,-0.4894328212
28.9,0.5463943467,-2.292246609,-2.292246609,-0.4002617293
28.925,0.5826904797,-2.30116327,-2.30116327,-0.3134767579
28.95,0.6178596131,-2.30794104,-2.30794104,-0.2291617757
28.975,0.6518337253,-2.312642391,-2.312642391,-0.1473697488
29,0.6845471059,-2.315330768,-2.315330768,-0.06812585079
29.025,0.715936483,-2.316069929,-2.316069929,0.008569345864
29.05,0.7459411454,-2.314923371,-2.314923371,0.08273674546
29.075,0.7745030602,-2.311953833,-2.311953833,0.1544156903
29.1,0.8015669849,-2.30722287,-2.30722287,0.2236610806
29.125,0.8270805743,-2.300790497,-2.300790497,0.2905406844
29.15,0.8509944818,-2.292714901,-2.292714901,0.3551326645
29.175,0.8732624548,-2.283052209,-2.283052209,0.4175233356
29.2,0.8938414242,-2.271856309,-2.271856309,0.4778051567
29.225,0.9126915874,-2.259178719,-2.259178719,0.5360749557
29.25,0.9297764859,-2.245068498,-2.245068498,0.5924323814
29.275,0.9450630752,-2.229572194,-2.229572194,0.6469785664
29.3,0.958521789,-2.212733818,-2.212733818,0.6998149913
29.325,0.9701265965,-2.194594851,-2.194594851,0.7510425284
29.35,0.9798550524,-2.175194269,-2.175194269,0.8007606503
29.375,0.9876883406,-2.154568585,-2.154568585,0.8490667867
29.4,0.9936113105,-2.132751905,-2.132751905,0.8960558107
29.425,0.9976125064,-2.109776003,-2.109776003,0.9418196357
29.45,0.9996841893,-2.085670394,-2.085670394,0.9864469104
29.475,0.9998223524,-2.060462418,-2.060462418,1.030022796
29.5,0.9980267284,-2.034177335,-2.034177335,1.072628813
29.525,0.9943007904,-2.006838411,-2.006838411,1.114342741
29.55,0.9886517447,-1.978467014,-1.978467014,1.155238567
29.575,0.9810905174,-1.949082714,-1.949082714,1.195386468
29.6,0.9716317329,-1.918703369,-1.918703369,1.234852819
29.625,0.9602936857,-1.88734523,-1.88734523,1.273700219
29.65,0.947098305,-1.855023025,-1.855023025,1.311987534
29.675,0.9320711125,-1.82175006,-1.82175006,1.349769937
29.7,0.9152411726,-1.787538305,-1.787538305,1.387098955
29.725,0.8966410368,-1.75239849,-1.75239849,1.424022509
29.75,0.87630668,-1.716340188,-1.716340188,1.460584942
29.775,0.8542774317,-1.679371911,-1.679371911,1.496827042
29.8,0.8305958992,-1.641501194,-1.641501194,1.53278604
29.825,0.8053078857,-1.602734687,-1.602734687,1.568495597
29.85,0.7784623016,-1.563078241,-1.563078241,1.603985763
29.875,0.7501110696,-1.522537006,-1.522537006,1.639282915
29.9,0.7203090249,-1.481115514,-1.481115514,1.674409672
29.925,0.6891138084,-1.438817785,-1.438817785,1.709384765
29.95,0.6565857558,-1.395647416,-1.395647416,1.74422291
29.975,0.6227877805,-1.351607692,-1.351607692,1.778934609
30,0.5877852523,-1.306701688,-1.306701688,1.813525946
30.025,0.5516458706,-1.260932384,-1.260932384,1.847998348
30.05,0.5144395338,-1.21430279,-1.21430279,1.882348278
30.075,0.4762382037,-1.166816062,-1.166816062,1.916566961
30.1,0.4371157667,-1.118475654,-1.118475654,1.950639984
30.125,0.3971478906,-1.069285445,-1.069285445,1.984546955
30.15,0.3564118787,-1.019249911,-1.019249911,2.018261057
30.175,0.3149865197,-0.9683742786,-0.9683742786,2.051748618
30.2,0.2729519355,-0.9166647073,-0.9166647073,2.084968638
30.225,0.2303894267,-0.8641284811,-0.8641284811,2.117872287
30.25,0.1873813146,-0.810774203,-0.810774203,2.150402422
30.275,0.1440107826,-0.75661202,-0.75661202,2.182493044
30.3,0.1003617149,-0.7016538384,-0.7016538384,2.214068828
30.325,0.05651853448,-0.6459135758,-0.6459135758,2.245044599
30.35,0.01256603988,-0.5894074013,-0.5894074013,2.275324898
30.375,-0.03141075908,-0.532154008,-0.532154008,2.304803551
30.4,-0.07532680553,-0.4741748781,-0.4741748781,2.333363336
30.425,-0.1190971601,-0.415494566,-0.415494566,2.36087572
30.45,-0.1626371652,-0.3561409839,-0.3561409839,2.387200713
30.475,-0.2058626088,-0.2961456842,-0.2961456842,2.412186861
30.5,-0.2486898872,-0.2355441511,-0.2355441511,2.435671411
30.525,-0.2910361668,-0.174376072,-0.174376072,2.457480653
30.55,-0.3328195445,-0.1126856103,-0.1126856103,2.477430512
30.575,-0.3739592057,-0.05052165251,-0.05052165251,2.49532737
30.6,-0.414375581,0.01206196803,0.01206196803,2.510969175
30.625,-0.4539904997,0.07500627366,0.07500627366,2.524146876
30.65,-0.4927273415,0.1382469921,0.1382469921,2.534646133
30.675,-0.5305111843,0.2017144473,0.2017144473,2.54224941
30.7,-0.5672689491,0.2653335095,0.2653335095,2.546738375
30.725,-0.6029295417,0.329023609,0.329023609,2.547896643
30.75,-0.6374239897,0.3926988218,0.3926988218,2.545512813
30.775,-0.6706855765,0.4562680364,0.4562680364,2.539383806
30.8,-0.7026499698,0.5196352045,0.5196352045,2.529318408
30.825,-0.7332553462,0.5826996846,0.5826996846,2.515140974
30.85,-0.762442511,0.6453566777,0.6453566777,2.496695228
30.875,-0.7901550124,0.7074977597,0.7074977597,2.473848038
30.9,-0.8163392507,0.7690115062,0.7690115062,2.446493084
30.925,-0.8409445823,0.8297842058,0.8297842058,2.414554285
30.95,-0.8639234172,0.8897006557,0.8897006557,2.377988877
30.975,-0.8852313113,0.9486450275,0.9486450275,2.336790035
31,-0.9048270525,1.006501794,1.006501794,2.290988906
31.025,-0.9226727399,1.063156696,1.063156696,2.240655972
31.05,-0.9387338577,1.118497737,1.118497737,2.185901662
31.075,-0.9529793415,1.172416176,1.172416176,2.126876144
31.1,-0.9653816388,1.224807514,1.224807514,2.06376829
31.125,-0.9759167619,1.275572442,1.275572442,1.996803797
31.15,-0.9845643345,1.324617722,1.324617722,1.9262425
31.175,-0.9913076311,1.371857007,1.371857007,1.852374963
31.2,-0.9961336091,1.417211556,1.417211556,1.775518428
31.225,-0.9990329347,1.460610843,1.460610843,1.696012207
31.25,-1,1.501993052,1.501993052,1.614212715
31.275,-0.9990329347,1.541305436,1.541305436,1.530488301
31.3,-0.9961336091,1.57850455,1.57850455,1.445213863
31.325,-0.9913076311,1.613556349,1.613556349,1.358765699
31.35,-0.9845643345,1.646436161,1.646436161,1.27151642
31.375,-0.9759167619,1.677128533,1.677128533,1.183830264
31.4,-0.9653816388,1.705626969,1.705626969,1.096058854
31.425,-0.9529793415,1.731933563,1.731933563,1.008537401
31.45,-0.9387338577,1.756058559,1.756058559,0.9215815927
31.475,-0.9226727399,1.77801981,1.77801981,0.8354849732
31.5,-0.9048270525,1.79784222,1.79784222,0.7505170496
31.525,-0.8852313113,1.81555711,1.81555711,0.6669219168
31.55,-0.8639234172,1.831201579,1.831201579,0.5849175199
31.575,-0.8409445823,1.844817846,1.844817846,0.5046954116
31.6,-0.8163392507,1.856452587,1.856452587,0.42642101
31.625,-0.7901550124,1.8661563,1.8661563,0.3502342416
31.65,-0.762442511,1.873982666,1.873982666,0.2762505619
31.675,-0.7332553462,1.879987962,1.879987962,0.2045622295
31.7,-0.7026499698,1.884230498,1.884230498,0.1352397942
31.725,-0.6706855765,1.886770093,1.886770093,0.06833375993
31.75,-0.6374239897,1.887667596,1.887667596,0.0038763107
31.775,-0.6029295417,1.886984448,1.886984448,-0.0581168983
31.8,-0.5672689491,1.884782297,1.884782297,-0.1176449533
31.825,-0.5305111843,1.881122646,1.881122646,-0.1747199288
31.85,-0.4927273415,1.876066551,1.876066551,-0.2293651956
31.875,-0.4539904997,1.869674361,1.869674361,-0.2816138155
31.9,-0.414375581,1.862005491,1.862005491,-0.3315070369
31.925,-0.3739592057,1.853118238,1.853118238,-0.3790928996
31.95,-0.3328195445,1.843069629,1.843069629,-0.4244249631
31.975,-0.2910361668,1.83191529,1.83191529,-0.4675611559
32,-0.2486898872,1.81970936,1.81970936,-0.5085627451
32.025,-0.2058626088,1.806504411,1.806504411,-0.5474934196
32.05,-0.1626371652,1.792351402,1.792351402,-0.5844184973
32.075,-0.1190971601,1.777299647,1.777299647,-0.6194042322
32.1,-0.07532680553,1.761396797,1.761396797,-0.6525172174
32.125,-0.03141075908,1.744688839,1.744688839,-0.6838238958
32.15,0.01256603988,1.727220106,1.727220106,-0.7133901337
32.175,0.05651853448,1.709033294,1.709033294,-0.7412808903
32.2,0.1003617149,1.690169492,1.690169492,-0.767559941
32.225,0.1440107826,1.670668208,1.670668208,-0.7922896691
32.25,0.1873813146,1.650567412,1.650567412,-0.8155309071
32.275,0.2303894267,1.629903573,1.629903573,-0.8373428264
32.3,0.2729519355,1.608711703,1.608711703,-0.8577828648
32.325,0.3149865197,1.587025397,1.587025397,-0.8769066912
32.35,0.3564118787,1.564876887,1.564876887,-0.8947681979
32.375,0.3971478906,1.542297072,1.542297072,-0.9114195155
32.4,0.4371157667,1.519315575,1.519315575,-0.926911056
32.425,0.4762382037,1.495960778,1.495960778,-0.9412915603
32.45,0.5144395338,1.472259862,1.472259862,-0.9546081676
32.475,0.5516458706,1.448238854,1.448238854,-0.9669064992
32.5,0.5877852523,1.423922654,1.423922654,-0.978230731
32.525,0.6227877805,1.399335078,1.399335078,-0.9886236998
32.55,0.6565857558,1.374498883,1.374498883,-0.9981269867
32.575,0.6891138084,1.349435805,1.349435805,-1.006781016
32.6,0.7203090249,1.324166581,1.324166581,-1.014625162
32.625,0.7501110696,1.298710976,1.298710976,-1.021697827
32.65,0.7784623016,1.273087806,1.273087806,-1.028036555
32.675,0.8053078857,1.247314958,1.247314958,-1.033678111
32.7,0.8305958992,1.221409409,1.221409409,-1.038658574
32.725,0.8542774317,1.195387243,1.195387243,-1.043013424
32.75,0.87630668,1.16926366,1.16926366,-1.046777611
32.775,0.8966410368,1.143052996,1.143052996,-1.049985642
32.8,0.9152411726,1.116768728,1.116768728,-1.052671642
